OTU ID	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285	KEGG_Pathways
Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Growth and Death; Cell cycle
Cell cycle - Caulobacter	9613	3080	7478	4822	9975	19521	8287	14485	11670	3243	6610	4104	17536	42554	9733	2446	5237	6504	737	8399	1578	4078	4820	7865	4275	25557	1640	2308	6372	11009	7670	7151	29184	4395	2431	25128	15311	19542	18337	23494	15428	5468	5710	6363	930	19935	4380	4343	12617	6069	Cellular Processes; Cell Growth and Death; Cell cycle - Caulobacter
Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Growth and Death; Cell cycle - yeast
Cell division	1406	371	687	594	733	3069	1533	2319	2549	613	924	451	2368	8962	1253	255	596	753	112	879	188	388	1126	913	418	3819	215	290	1004	2211	1138	885	6149	620	322	6819	2240	2215	2167	2662	2452	591	870	1684	145	5310	698	603	1701	662	Unclassified; Cellular Processes and Signaling; Cell division
Cell motility and secretion	3091	1090	4145	1659	7134	5490	2693	3771	4441	1092	2957	960	3677	8772	2069	542	1179	1240	189	1830	632	748	3149	1825	920	5409	391	774	1694	3907	1960	1664	5823	1034	607	11381	3810	4560	4324	7019	4472	1218	2569	4636	343	8897	2274	1485	2490	1483	Unclassified; Cellular Processes and Signaling; Cell motility and secretion
Cellular antigens	915	300	208	376	134	1751	1387	865	2228	510	471	338	284	781	119	24	458	397	66	881	34	39	528	844	416	556	137	86	565	2235	381	554	111	7	210	9013	43	2240	1734	533	600	670	425	798	87	7009	803	605	753	685	Environmental Information Processing; Signaling Molecules and Interaction; Cellular antigens
Chagas disease (American trypanosomiasis)	309	212	116	20	4	4	53	115	48	17	206	273	243	615	2	19	427	371	22	867	3	8	255	787	367	301	56	32	56	21	96	435	31	2	144	4	12	2063	1542	96	179	370	235	393	3	3	61	314	662	624	Human Diseases; Infectious Diseases; Chagas disease (American trypanosomiasis)
Chaperones and folding catalysts	17552	4803	10991	9979	14250	36385	17811	25187	25537	6704	11786	6876	28951	75495	17334	4599	7992	10336	1332	12365	2616	6752	14850	11743	6542	40787	2960	4379	14001	25917	13105	11396	50736	6934	3925	74919	24335	29020	27801	45212	29054	8912	10185	20536	1564	58950	9126	8078	19977	9260	"Genetic Information Processing; Folding, Sorting and Degradation; Chaperones and folding catalysts"
Chloroalkane and chloroalkene degradation	3936	1306	4334	1404	6017	5968	2235	4793	2276	816	2746	2023	7282	21312	3882	1026	2782	3090	308	4495	541	1567	1887	4185	2139	9756	756	772	2502	4020	3050	3494	13043	1609	1106	9130	5372	10614	9282	5849	6852	2205	2491	2754	354	7400	1049	2025	6208	3345	Metabolism; Xenobiotics Biodegradation and Metabolism; Chloroalkane and chloroalkene degradation
Chlorocyclohexane and chlorobenzene degradation	97	10	300	26	545	2	46	56	5	3	55	85	24	1822	258	97	26	15	0	2	3	0	256	15	0	135	32	8	261	77	34	13	811	14	5	6	20	51	51	170	338	31	77	390	21	0	80	83	107	53	Metabolism; Xenobiotics Biodegradation and Metabolism; Chlorocyclohexane and chlorobenzene degradation
